,writer,date,review
71,"한전KPS
· 한**","작성일
2019.12.10.","대개 허리 가운데부터 아프지...그러다 진행되면
요추 4-5나 요추5-천추1 처럼 부위에 따라 통증도 다르게 나타나고... 일단 아플 땐 휴식이 먼저..."
72,"LIG넥스원
· 리****
작성자","작성일
2022.12.08.",멋찌게 늙을람 아프지 말아야하는데...걱정해줘서 감사~~^^
73,"LG전자
· 앵*****","작성일
2021.03.04.",ㅠㅠ조시매 터지면 개아파
74,"현대자동차
· l*********","작성일
2021.05.11.",수원에 나 다니는 곳 통증 전문이야 필요하면 쪽지 줘!
75,"현대중공업
· 호**","작성일
2020.12.18.","하 ㅜ 저 이거 인거같은데 어케 진단하셨죠?,"
76,"한국가스기술공사
· @******","작성일
2020.11.23.",교체
77,"삼성전자
· d******
작성자","작성일
06.30",아 그렇군요. 감사합니다. 누가 디스크 게임 당근에 올렸는데 코드 미사용이라고 써놔서 물어봤어요. 그럼 이 사람은 뭐죠..? 사기이려나요?
78,"삼영이엔씨
· 팝*****","작성일
2022.02.25.","그건 그때그때 달라~요~
뭘 먼저바꾸냐 순서가 있는 부품이 아냐
그냥 둘중 하나가 한계선까지 마모되어 다쓰면 교체인거지..."
79,"카카오엔터프라이즈
· 밥********","작성일
03.04",엎드려자다가 깼을때 팔이 지이이이잉 하는 느낌이 다리부터 발끝까지 나면 백퍼야 🥺🥲
80,"삼성전자
· 짜**","작성일
08.21","어케 나으셨나용 ㅠㅠ 작년초에 다치고 금방 나을줄알았는데, 계속 아프다가 엠알아이 한 번 더 찍으니 감압 시술 받으라하는데 고민중이네요.."
81,"한국가스공사
· f*****","작성일
07.04","디지털 버젼은 게임 구매하면 계정에 귀속되므로 다 한 게임을 팔수가 없음
디스크버젼은 게임 다 하면 중고로 팔고 다른 게임을 살 수 있음"
82,"삼성바이오로직스
· P****
작성자","작성일
03.24",치료에 꼭 포함되는거 같던데 도움이 되었다니 다행이네요ㅎㅎ 좋은 정보 감사합니다!
83,"OCI
· k******","작성일
08.03",브레이크 분진이 많아서 저런듯 내차도 그렇고 와이프차 벤츤데 비슷해요. 주행하면서 브레이크 몇번 밟으면 없어져요 괜히 저거 없앤다고 이상한거 뿌리고 그러면 위험하니 하지마세요
84,"공무원
· i*********","작성일
02.09",간호휴직 있더라 나도 작년에 쓸까 고민했었음 다행히 그 상황까진 안 갔지만
85,"캐논쎄미콘덕터엔지니어링코리아
· 알***
작성자","작성일
2022.12.22.",아....찾아볼게요..감사합니다...😭
86,"피에스앤마케팅
· i******","작성일
5일",쪽지 드려도 될까요?
87,의사 · 병*****,"작성일
2022.08.12.","첨부사진과 비슷하다는 본인사진이 아니라는이야기시죠? 흠
같은정도의 디스크 파열이어도 개인별 증상이 달라서 본인의 증상이 중요할것같습니다"
88,"새회사
· p********","작성일
2020.06.19.",mri찍어보셨나요? 무조건 수술하라고는 안할텐데 약물치료 되면 좋겠네요 신촌에 있는 2차병원 갔는데 울멍멍이는 약먹고 나았어요 검사비랑 해서 100정도 나갔던거 같네요 수술도 여기서 하는거 같던데 꼭 나음 좋겠네요ㅠㅠ
89,"한국지역난방공사
· i*********","작성일
2021.10.30.",디스크는 쉬는 게 최고입니다
90,"발레오전장
· 팔*****","작성일
2022.03.16.",하루종일 저러고 살았는데..그래서 내가 디스크가 생겼구나..ㅠㅡㅠ
91,"경동제약
· D*****","작성일
05.18","정석으로 바벨렉 후 머신으로 가고 컨디션 따라 꾸준히 증량했고
스쿼트 120, 데드 160까지 수행가능해짐
내 몸에 맞는 자세를 찾으면 됨 (허리가 아프지 않는 자세)"
92,"현대건설
· l*******","작성일
03.08",다음달에 샤넬 뭐 나오나?
93,"LG전자
· i********
작성자","작성일
2021.02.06.","지금 다시 껐다 켜니, 자동복구 준비 중... 몇 번 다시 꺼야 하나요?ㅜ"
94,"SK하이닉스
· h*****","작성일
2021.08.26.",MRI 찍고 CD들고 대학병원가는게 정석
95,"아이센스
· i********","작성일
2021.12.27.",정상
96,"CJ ENM
· i********","작성일
2020.06.20.",좋지않지. 골프가 허리에 안 좋은 운동임
97,"서울교통공사
· i********","작성일
2021.07.21.",디스크 한번도 안바꿨음 바꿀때 지나긴했네 연마하는 방법도 있는데 공업사가봐
98,새회사 · P***,"작성일
06.26",사람마다 잘 맞는 치료가 다르겠다만 난 자생한방병원에서 추나랑 약침 치료 받았을 때가 가장 만족스러웠음. 케바케니까 참고 정도만 해~
99,"공무원
· 초******
작성자","작성일
04.30",진짜? 너 등받이 없는 의자도 내리 앉아있을수 있음?ㅠ난 의자 엄청 타거 거지같은곳에 앉아있음 다음날 죽음이야 삶의질 바사삭….왜 난 신전 하면 허리가 더 굳는 느낌일까 진짜
100,새회사 · e******,"작성일
2022.01.19.",아현동에 마나동
101,"한솔제지
· O*****","작성일
2022.11.08.",침대에 누워서 한쪽다리를 천천히 무릎굽히지말고 들어보세요.조금만 들어도 허리아프면 ㅂㅇ
102,"한국지역난방공사
· 다*****","작성일
06.19",염좌여도 꽤 오래가더라..
103,새회사 · !******,"작성일
2018.12.26.",잘못된 운동 보다 물 속 걷기가 최고
104,"롯데컬처웍스
· i*********","작성일
01.31",자세가 틀어져도 그래
105,"한국타이어앤테크놀로지
· e****","작성일
05.08",디스크 변형없으면 패드만하면 엄청싼데 ㅡㅡ
106,"삼영이엔씨
· 팝*****","작성일
2022.01.18.","연마이력 없는데 저정도 닳았으면 정말 브레이크 별로안쓴건데...
연마이력 없는거면 로터는 그냥써도 될것같고,
패드만 갈아도 될것같다.
고속에서 브레이크 밟아도 핸들 안떨지? 그럼 걍 타
약간 열먹긴했는데 이정도면 더탈수있어"
107,"넷마블네오
· 킹*","작성일
07.20",형 요새 잘 지내요?
108,"이투스교육
· 옴*********","작성일
2021.10.31.","나 디스크 터져서 수술했었는데
나같은경우
허리부터해서 발끝까지 그냥 감각무뎌지고 저리더라고
그래서 병원가서 mri찍으니까
터졌데.
그래서 수술함"
109,새회사 · i*********,"작성일
2022.10.07.","중고로 디스크 싸게 사서 할거다

무조건 정가주고 다운받아 한 뒤 용량 부족하면 지워도 상관없다"
110,"한국해양수산연수원
· i********
작성자","작성일
2021.07.14.",ㅠㅜ
111,간호사 · l*********,"작성일
2021.09.25.","스테로이드가 부작용도 많지만 간에 영향이 있어서 간수치 보고 주거든.. 사람이든 강아지든 스테로이드는 대상자 정도에따라 의사선생님이 용량과 Cycle을 정해서 주기때문에, 중간에 끊을때도 용량을 줄이면서 끊어야지 막 끊을 수 없어..

그리고 진통제 때문에 일시적인 활기인지도 알아야 하기때문에 끝까지 치료를 병행 하는걸추천할게 🥺🌟

디스크는 집 관리가 중요하니까 마니마니 알아봐바🌟"
112,"LG유플러스
· 어*********","작성일
2021.09.23.",응
113,"금호타이어
· d****
작성자","작성일
2022.07.18.","우선 업체한테 보내기로 했어요 ㅠ
답변해주셔서 고마워요!
좋은 하루 보내세요^^"
114,의사 · 아******,"작성일
2022.05.31.",1. 이번에 갑자기 디스크가 심해져서 방사통이 생겼거나
115,"파리크라상
· p*****","작성일
2022.08.14.",허리에 크게 이상이 없으면 골반도 한번 확인 해보세요 허리가 아팠던 친척중에 알고보니 골반이 문제 였던 경우가 있어서 혹시나하고 얘기해봐요
116,"가톨릭중앙의료원
· l********","작성일
2021.08.15.","정형외과 수술은
수술이 40% 재활이 60% 기억해
대한민국 최고 명의가 해도 재활 노력 없으면
끝나는거야"
117,새회사 · p*****,"작성일
01.02",심하긴 하네.. 보존적 치료 받으라고 하고싶은데..7년전에도 그랬다니.. ㅠㅠ
118,"한전원자력연료
· 건*****","작성일
2021.12.07.",디스크는 누구나 있죠..그게 통증을 동반하는가가 문제임..아프면 허리 펴지도 못함 순간적으로 온몸에 힘이 빠져서 주저앉을 정도 됨..제가 얼마전 그래서 병원갔다 3번에 걸쳐 주사 맞고 왔음
119,새회사 · U*****,"작성일
2022.12.15.","난가
살찌면 허리에 바로 무리가"
120,"LG전자
· 허***","작성일
2020.12.03.",실비 가입 후 나중에 디스크 증세로 보험료 청구하면 보험 가입 전 1년부터인가 비슷한 증상으로 병원 갔던 적이 있는지 다 뒤지더라구요.
121,"서울아산병원
· l*****","작성일
2022.05.09.",너무 아플거 알아서 슬프다 ㅠㅠ…수술하는게나아 최대한 빨리 해주는데로 가서 수술하길
122,"삼성전자
· u********","작성일
2019.08.21.","연마할바엔 걍 디스크교체하는게 낫다고봄
연마하고 얼마못가 또 떨어
일단 패드도 교환할때 됬으니 먼저 순정으로갈아보고
그래도 떨면 디스크 갈아
이게정석이야"
123,"한국전력공사
· 좋**********","작성일
2021.12.27.",빙고지
124,"국민건강보험공단
· i********
작성자","작성일
2019.09.24.",정말 고마워 ㅜ
125,"한국수산자원공단
· W********","작성일
01.14","병원 가보시는게 젤 정확!
디스크 증상중에 다리 저림 있긴해여"
126,"공무원
· 면***","작성일
2022.09.07.",디스크냉증
127,"아시아나항공
· 경*****","작성일
2018.07.16.",ㅇㅇ 비지니스 근데 언니 나도 디스크인데.. 그래도 잘 살아
128,"COUPANG
· M*******
작성자","작성일
2022.07.20.",감사합니다!!
129,스타트업 · 막****,"작성일
02.14",유튜브에 정선근 교수님 영상봐봐 글고 운동은 쉬어야해
130,"삼성전자서비스
· l*********","작성일
02.07",ㅋㅋㅋㅋㅋㅋ 거만햐게 깔보듯 공감 너무 위로 꺽어도 안되고 그 각도가ㅋㅋㅋㅋ 약간 내려다보듯ㅋㅈㅋㅋㅋㅋㅋ
131,"새회사 · h*****
작성자","작성일
2019.07.16.","와 가격이 신세계네요.....
왠지 이거 재성능 뽑으려면 브레이크튠 해야할것 같아서 순정패드로 가볼께요 ㅠ"
132,새회사 · q*****,"작성일
2020.08.08.",혹시 이제 괜찮아요??
133,"한국패션산업연구원 · 순*********
작성자","작성일
05.31",이미 네명 척추외과 전문의 만났어요..결론은 나중에 크게 하던지..아니면 우선 한마디만 하든지 ㅠ
134,"라인플러스
· I*********
작성자","작성일
2022.01.21.",아아 글쿠나.. 나도 뭔가 아플때 걷다보면 통증이 없어지더라고.. 조깅가야겟다!
135,DB손해보험 · 머***,"작성일
2020.09.12.","한의원-추나 실비가능

한방병원-추나,도수치료 실비가능

단, 많이 받을수록 신규보험 가입에 제한은 늘어남"
136,"기업은행
· g*****","작성일
2021.12.26.",터졌으면 결국수술
137,"서울특별시
· 후******
작성자","작성일
2021.08.15.",잘은 기억이 안나ㅠㅠ 멍충인가ㅠㅠ 그런데 비슷하게 말씀하셨던 거 같아! 신경통이 원래는 동그래야되는데 디스크가 그걸 눌러서 찌그러져있었어!!
138,"HMM
· l*******
작성자","작성일
2020.05.31.",운동말구우.. ㅜㅜ 템퍼넘비싸드아
139,"현대자동차
· f*******","작성일
05.22",나랑똑같은생각인데 결국 어떻게 하셨는지 궁금
140,"수협은행
· 수***","작성일
02.22",ㅈㄴ 눈물나는 인바디네 5키로 송실
141,"대우조선해양
· P*****
작성자","작성일
2019.01.28.",조언 감사합니다b
142,"국민연금공단
· i*******","작성일
2021.09.19.",형 혹시 진단결과는 어땠어 ? 지금은 괜찮아요 ? 오늘부터 형과 같은 증상으로 딱 아픈데 연휴라 병원에 갈 수 없을것 같아 여쭤보아요ㅠㅠ 추석 잘 보내세요 :)
143,SK 협력사 · 하*********,"작성일
2020.10.25.",1.2MB 1.44MB
144,"아모레퍼시픽
· l*********","작성일
2022.03.25.",혹시 오디야? 운동도 같이 시켜줘?
145,의사 · I***,"작성일
2022.06.23.","재활의학과에서 운동 배우세요
주사는 증상개선이고 근본적인 원인 해결은 안됩니다. 주사 맞으면 안된다는 말이 아니라 병행하셔야한다는 거에요

윗분이 말씀해주신 정성근교수님이 서울대 재활이신데 거기 참고하셔도 좋아요"
146,"서울시설공단
· f********","작성일
2022.04.19.",심하신데
147,새회사 · A****,"작성일
06.29",내가 겪은 증상을 말해주면 일단 팔 저리고 고개를 돌릴 때마다 목이 많이 아파.. 정상적인 일상은 힘들다 ㅜㅜ 자세 교정이 중요하지만 그것만으로는 안돼. 치료도 꼭 받아야 돼. 나는 ㅈㅅ한방병원 다니면서 많이 좋아졌어. 계속 꾸준히 관리해야 돼.
148,"현대비에스앤씨
· F*****
작성자","작성일
2022.01.06.",소견서 재출하고 쉬어야겠다.
149,"카카오
· i********
작성자","작성일
2022.02.09.",난 100대0이라..흠..
150,"국토안전관리원
· l*******","작성일
2021.10.04.",아이고....
151,"보그워너
· G*****","작성일
2021.06.05.",ㅎㅎㅎ 화이팅!
152,새회사 · 도****,"작성일
2020.12.09.",나 미국에 있을때 물리치료 받던데가 있었는데 거기서 쓰는 기구(cervical traction) 사왔어.. 하루 20분 정도 몇년 하니까 조금 괜찮아 졌어.. 목베게도 나한테 맞는거 찾아서 쓰고
153,"LG이노텍
· l*********
작성자","작성일
2022.03.21.",고마워!
154,"에스에스지닷컴
· 헬*********","작성일
2022.12.05.",김성근
155,"미래에셋증권
· 아********","작성일
01.16",하이닥 이용하세요 ㅋㅋ
156,"국민은행
· 🍀****","작성일
08.23",남기세병원
157,"서울특별시
· l********","작성일
2019.12.10.","윗댓처럼 난 L4~L5디스크였는데 시술받고 재활운동 반년정도하고 운동꾸준히해서 지금 나았어
난 디스크초기라고했는데도 장이 눌려서 너무 아프고 친구만나다가도 식은땀나서 화장실갔다와야 허리통증이 사라졌어 쓰니하고는 반대인데 빨리 시술or수술하고 자세교정, 재활하는걸 추천해 뭐든 병은 빨리 잡는게 최고야"
158,"NCSOFT
· ʕ****","작성일
2019.08.09.",예
159,"한국항공우주산업
· ?*******","작성일
2019.02.12.",무관심 방지 위원회에서 나왔읍니다
160,"한국장애인고용공단
· !********","작성일
2021.01.11.","안마 받으러 가보는 건 어때?
나 주말에 받고 왔는데 근육을 풀어줘서 그런지 어깨통증 사라짐!! 애초에 자세가 안좋아서 생긴 통증이라 시간지나면 다시 생기겠지만ㅠ

무튼 안마도 한번 받으러 가봐."
161,"홈플러스
· 볶***","작성일
2020.08.02.",엎드려있는건?
162,"롯데케미칼
· l*******","작성일
02.19",순간적으로 복압 풀려서 허리에 데미지
163,새회사 · 고*********,"작성일
07.20","가능할텐데.. 제약이 따르죠. ^^
가입 필요하시면 문의 주세요. 심사 넣어드리겠습니다.

닉넴 클릭 후 오픈톡이나 카톡 문의

◇대면 상담도 가능합니다.

◆제안서는 신입이든 경력이든 누구나 복붙해서
줄수 있으니 설계사를 보고 선택하는게 좋습니다.
닉넴 클릭 후 블로그를 통해 '설계사 소개' 도 확인해보세요."
164,"한국해양수산개발원
· j********
작성자","작성일
07.14",형님들 감사함다
165,"현대자동차
· 코*********
작성자","작성일
2021.05.04.",난 나름 진지하게 물어본건데...
166,한의사 · 아****,"작성일
2022.06.10.","엑스레이로 대략적으로 퇴행이나 디스크 예상은 가능하지만 mri가 제일 확실하고 mri는 6개월 정도 지나면 의미가 없다고 보니깐 새로 찍어봐바.

나도 진료보는 도중에 디스크 터져서 좀 고생했는데 쾌차하길 바라..!"
167,"현대중공업
· 마*****
작성자","작성일
2022.05.06.",네 발목 꺽이는 힘이 다른쪽보다 많이 약해서.. 수술했어요.
168,"키움증권
· 멋******","작성일
2022.09.12.",도수치료 받으면서 물리치료사랑 상담해 봐. 몸 좋은 물리치료사면 신뢰도 업
169,"자생한방병원
· j*****","작성일
2019.12.15.",팽윤=bulging으로 디스크에서 제일 낮은 단계예요(아직 터지지도 않고 그냥 수핵이 눌린 상태) 병원 가도 특별히 해줄 건 없고 통증 있다고 하면 통증 조절하는 약만 줄 거예요. 고콜레스테롤혈증은 척추 쪽 질환에 전반적으로 안 좋으니까 살 빼시구요
170,"부산교통공사
· I*********","작성일
2019.03.21.","찌르는 통증이면 부상위험이고, 뻐근하고 그런거면 걍 힘들어서 근육 뭉친거."
171,"공무원
· 0**
작성자","작성일
03.25",오... 안심이 되는 댓글이다 ㅠㅠ
172,"NAVER
· l*********","작성일
2021.10.13.","두통이 오거나
목이나 어깨가 아프거나
숨 쉴때 가슴이 아프거나
손가락이 저리거나
팔꿈치가 아프거느
팔 전반에 방사통이 있거나
이런건 걍 참고 살고

손에 힘이 안들어가서 물건을 자주 떨어뜨리거나
걸음걸이가 이상해지거나
이러면 바로 수술 들어가야함"
173,"베바스토코리아홀딩스
· !*********
작성자","작성일
08.01",목 디스크
